iter	Passed	Remaining
0	1	1164
1	1	812
2	2	682
3	2	623
4	2	583
5	3	541
6	3	524
7	4	506
8	4	499
9	5	506
10	5	503
11	6	497
12	6	488
13	6	482
14	7	477
15	7	468
16	8	464
17	8	460
18	8	459
19	9	456
20	9	454
21	10	451
22	10	447
23	10	444
24	11	440
25	11	437
26	12	435
27	12	431
28	12	428
29	13	424
30	13	423
31	13	420
32	14	419
33	14	418
34	15	418
35	15	415
36	15	414
37	16	413
38	16	413
39	17	413
40	17	413
41	18	412
42	18	411
43	18	410
44	19	410
45	20	417
46	20	419
47	21	417
48	21	418
49	22	418
50	22	418
51	22	417
52	23	417
53	23	417
54	24	417
55	24	416
56	25	414
57	25	413
58	25	411
59	26	409
60	26	407
61	26	407
62	27	405
63	27	403
64	28	402
65	28	401
66	28	400
67	29	400
68	29	399
69	29	398
70	30	397
71	30	396
72	31	396
73	31	396
74	32	396
75	32	395
76	32	394
77	33	394
78	33	393
79	34	393
80	34	392
81	35	392
82	35	388
83	35	388
84	35	387
85	36	387
86	36	387
87	37	388
88	37	387
89	38	387
90	38	386
91	39	386
92	39	385
93	39	385
94	40	384
95	40	383
96	41	383
97	41	382
98	41	381
99	42	380
100	42	380
101	43	380
102	43	379
103	43	378
104	44	378
105	44	377
106	45	376
107	45	375
108	45	374
109	46	374
110	46	374
111	47	373
112	47	373
113	47	372
114	48	372
115	48	372
116	49	370
117	49	370
118	50	370
119	50	370
120	50	369
121	51	368
122	51	367
123	52	367
124	52	367
125	52	366
126	53	365
127	53	365
128	54	365
129	54	364
130	54	364
131	55	363
132	55	363
133	56	366
134	57	365
135	57	365
136	57	365
137	58	364
138	58	363
139	59	362
140	59	361
141	59	360
142	59	359
143	60	358
144	60	358
145	61	357
146	61	357
147	61	356
148	62	355
149	62	355
150	63	354
151	63	354
152	63	354
153	64	353
154	64	352
155	65	352
156	65	351
157	65	350
158	66	350
159	66	349
160	66	348
161	67	347
162	67	347
163	68	347
164	68	346
165	68	345
166	69	345
167	69	344
168	70	344
169	70	343
170	70	343
171	71	342
172	71	342
173	72	342
174	72	341
175	72	341
176	73	341
177	73	340
178	74	340
179	74	339
180	74	339
181	75	338
182	75	338
183	76	338
184	76	337
185	76	336
186	77	336
187	77	336
188	78	335
189	78	335
190	79	334
191	79	334
192	79	334
193	80	333
194	80	333
195	81	333
196	81	333
197	82	332
198	82	332
199	83	332
200	83	332
201	83	331
202	84	331
203	84	331
204	85	330
205	85	330
206	86	329
207	86	329
208	86	328
209	87	328
210	87	327
211	88	327
212	88	326
213	88	326
214	89	325
215	89	324
216	89	324
217	90	323
218	90	323
219	90	322
220	91	321
221	91	321
222	92	320
223	92	320
224	93	320
225	93	320
226	94	321
227	94	321
228	95	321
229	95	320
230	96	320
231	96	319
232	96	319
233	97	318
234	97	318
235	98	318
236	98	317
237	99	317
238	100	320
239	101	320
240	101	319
241	101	319
242	102	318
243	102	318
244	103	317
245	103	317
246	104	317
247	104	316
248	104	316
249	105	315
250	105	315
251	106	314
252	106	314
253	106	313
254	107	312
255	107	312
256	107	311
257	108	311
258	108	311
259	109	310
260	109	310
261	109	309
262	110	309
263	110	309
264	111	308
265	111	308
266	112	307
267	112	307
268	113	308
269	113	308
270	114	307
271	114	307
272	115	307
273	116	308
274	116	307
275	117	307
276	117	306
277	118	306
278	118	306
279	118	305
280	119	304
281	119	304
282	119	303
283	120	303
284	120	302
285	121	302
286	121	301
287	121	301
288	122	300
289	122	299
290	122	299
291	123	298
292	123	298
293	123	297
294	124	297
295	124	296
296	125	296
297	125	296
298	126	295
299	126	295
300	126	294
301	127	294
302	127	294
303	128	293
304	128	293
305	129	292
306	129	292
307	129	291
308	130	291
309	130	291
310	131	290
311	131	290
312	132	289
313	132	289
314	132	288
315	133	288
316	133	287
317	133	287
318	134	286
319	134	286
320	135	285
321	135	285
322	135	284
323	136	284
324	136	283
325	136	283
326	137	282
327	137	281
328	137	281
329	138	280
330	138	280
331	139	279
332	139	279
333	139	278
334	140	278
335	140	278
336	141	277
337	141	277
338	141	276
339	142	276
340	142	275
341	143	275
342	143	274
343	143	274
344	144	273
345	144	273
346	145	273
347	145	272
348	146	272
349	146	272
350	146	271
351	147	271
352	147	270
353	147	270
354	148	269
355	148	269
356	149	268
357	149	268
358	150	268
359	150	267
360	150	267
361	151	266
362	151	266
363	151	265
364	152	265
365	152	264
366	153	264
367	153	263
368	153	262
369	154	262
370	154	262
371	154	261
372	155	260
373	155	260
374	156	260
375	156	259
376	156	259
377	157	258
378	157	258
379	158	257
380	158	257
381	158	257
382	159	256
383	159	256
384	160	255
385	160	255
386	160	254
387	161	254
388	161	254
389	162	253
390	162	253
391	163	253
392	163	253
393	164	253
394	164	252
395	165	252
396	165	251
397	166	251
398	166	250
399	166	250
400	167	250
401	167	249
402	168	249
403	168	248
404	168	248
405	169	247
406	169	247
407	169	246
408	170	245
409	170	245
410	170	244
411	171	244
412	171	244
413	172	243
414	172	243
415	172	242
416	173	242
417	173	241
418	174	241
419	174	241
420	175	240
421	175	240
422	176	240
423	176	239
424	176	239
425	177	239
426	187	251
427	187	250
428	188	250
429	188	249
430	188	249
431	189	248
432	189	248
433	189	247
434	190	247
435	190	246
436	190	246
437	191	245
438	191	244
439	191	244
440	192	243
441	192	242
442	192	242
443	192	241
444	193	241
445	194	241
446	194	240
447	195	240
448	196	240
449	200	245
450	200	244
451	201	243
452	201	243
453	202	242
454	202	242
455	203	242
456	203	241
457	203	241
458	204	240
459	204	240
460	205	239
461	205	239
462	205	238
463	206	238
464	206	237
465	206	237
466	207	236
467	207	235
468	207	235
469	208	234
470	208	234
471	209	234
472	209	233
473	210	233
474	210	232
475	210	232
476	211	231
477	211	231
478	212	230
479	212	230
480	213	229
481	213	229
482	213	228
483	214	228
484	214	227
485	215	227
486	215	227
487	215	226
488	216	225
489	216	225
490	217	225
491	217	224
492	218	224
493	218	223
494	218	223
495	219	222
496	219	222
497	220	221
498	220	221
499	220	220
500	221	220
501	221	219
502	221	219
503	222	218
504	222	218
505	223	218
506	223	217
507	224	217
508	224	216
509	225	216
510	225	215
511	226	215
512	226	214
513	226	214
514	227	213
515	227	213
516	227	212
517	228	212
518	228	211
519	229	211
520	229	210
521	229	210
522	230	210
523	230	209
524	231	209
525	231	208
526	231	208
527	232	207
528	232	207
529	232	206
530	233	206
531	233	205
532	234	205
533	234	204
534	235	204
535	235	203
536	235	203
537	236	202
538	236	202
539	237	202
540	237	201
541	237	201
542	238	200
543	238	200
544	239	199
545	239	199
546	240	198
547	240	198
548	240	197
549	241	197
550	241	196
551	242	196
552	242	195
553	242	195
554	243	194
555	243	194
556	243	193
557	244	193
558	244	192
559	244	192
560	245	191
561	245	191
562	246	190
563	246	190
564	246	189
565	247	189
566	247	188
567	247	188
568	248	187
569	248	187
570	248	187
571	249	186
572	249	186
573	250	185
574	250	185
575	250	184
576	251	184
577	251	183
578	252	183
579	252	182
580	252	182
581	253	181
582	253	181
583	254	181
584	254	180
585	254	180
586	255	179
587	255	179
588	256	178
589	256	178
590	257	177
591	257	177
592	257	176
593	258	176
594	258	175
595	258	175
596	259	175
597	259	174
598	260	174
599	260	173
600	260	173
601	261	172
602	261	172
603	261	171
604	262	171
605	262	170
606	263	170
607	263	169
608	263	169
609	264	168
610	264	168
611	264	167
612	265	167
613	265	167
614	266	166
615	266	166
616	267	165
617	267	165
618	267	164
619	268	164
620	268	163
621	269	163
622	269	163
623	269	162
624	270	162
625	270	161
626	270	161
627	271	160
628	271	160
629	272	159
630	272	159
631	273	159
632	273	158
633	273	158
634	274	157
635	274	157
636	275	156
637	275	156
638	275	155
639	276	155
640	276	154
641	277	154
642	277	154
643	277	153
644	278	153
645	278	152
646	278	152
647	279	151
648	279	151
649	280	150
650	280	150
651	281	150
652	281	149
653	282	149
654	282	148
655	282	148
656	283	147
657	283	147
658	284	147
659	284	146
660	284	146
661	285	145
662	285	145
663	286	144
664	286	144
665	287	144
666	287	143
667	288	143
668	288	142
669	288	142
670	289	141
671	289	141
672	289	140
673	290	140
674	290	140
675	291	139
676	291	139
677	291	138
678	292	138
679	292	137
680	293	137
681	293	136
682	293	136
683	294	135
684	294	135
685	295	135
686	296	134
687	296	134
688	296	133
689	297	133
690	297	133
691	298	132
692	298	132
693	298	131
694	299	131
695	299	130
696	300	130
697	300	130
698	301	129
699	301	129
700	301	128
701	302	128
702	302	127
703	302	127
704	303	126
705	303	126
706	304	126
707	304	125
708	304	125
709	305	124
710	305	124
711	306	123
712	306	123
713	306	122
714	307	122
715	307	122
716	308	121
717	308	121
718	308	120
719	309	120
720	309	119
721	309	119
722	310	118
723	310	118
724	311	117
725	311	117
726	311	117
727	312	116
728	312	116
729	313	115
730	313	115
731	313	114
732	314	114
733	314	114
734	315	113
735	315	113
736	315	112
737	316	112
738	316	111
739	317	111
740	317	110
741	317	110
742	318	110
743	318	109
744	318	109
745	319	108
746	319	108
747	319	107
748	320	107
749	320	106
750	321	106
751	321	106
752	321	105
753	322	105
754	323	104
755	323	104
756	323	103
757	324	103
758	324	103
759	325	102
760	325	102
761	325	101
762	326	101
763	326	100
764	326	100
765	327	99
766	327	99
767	328	99
768	328	98
